"","ENTIDAD","MUNICIPIO","CODIGO","ID_ESTRATO","UE","PRODUCCION","FORMA_CAPITAL","GASTOS","INGRESOS","PERSONAL_OCUP","CONSUMO_INTER","VALOR_AGREG","MARGEN_PSNETO","NOMBRE_ENTIDAD","NOMBRE_MUNICIPIO","DESC_CODIGO","CVEGEO"
"1",3,1,114,1,230,172.919,7.461,86.432,174.551,1197,85.101,87.818,50.4832398554004,"Baja California Sur","Comondú,","Pesca, caza y captura","03001"
"2",3,1,114,2,37,153.143,3.415,83.624,154.105,684,77.845,75.298,45.7356996852795,"Baja California Sur","Comondú,","Pesca, caza y captura","03001"
"3",3,1,114,3,3,19.989,0,9.539,21.481,235,9.469,10.52,55.5933150225781,"Baja California Sur","Comondú,","Pesca, caza y captura","03001"
"4",3,1,236,99,8,31.736,0.71,17.641,31.536,143,17.505,14.231,44.0607559614409,"Baja California Sur","Comondú,","Edificación","03001"
"5",3,1,238,99,7,18.756,0,11.227,19.348,34,10.596,8.16,41.9733305768038,"Baja California Sur","Comondú,","Trabajos especializados para la construcción","03001"
"6",3,1,311,99,138,759.214,24.32,565.39,762.918,1196,553.251,205.963,25.8911180493841,"Baja California Sur","Comondú,","Industria alimentaria","03001"
"7",3,1,312,99,52,40.06,3.12,24.359,40.028,157,24.343,15.717,39.1450984310982,"Baja California Sur","Comondú,","Industria de las bebidas y del tabaco","03001"
"8",3,1,315,99,17,1.362,0.012,0.786,1.372,21,0.786,0.576,42.7113702623907,"Baja California Sur","Comondú,","Fabricación de prendas de vestir","03001"
"9",3,1,321,1,15,2.111,0.027,1.338,2.104,17,1.338,0.773,36.4068441064639,"Baja California Sur","Comondú,","Industria de la madera","03001"
"10",3,1,323,99,8,4.323,0.004,2.876,4.314,17,2.858,1.465,33.3333333333333,"Baja California Sur","Comondú,","Impresión e industrias conexas","03001"
"11",3,1,327,1,21,9.527,0.014,4.568,9.478,42,4.566,4.961,51.8041780966449,"Baja California Sur","Comondú,","Fabricación de productos a base de minerales no metálicos","03001"
"12",3,1,332,99,53,89.604,11.908,103.839,105.457,104,81.107,8.497,1.53427463326284,"Baja California Sur","Comondú,","Fabricación de productos metálicos","03001"
"13",3,1,337,1,13,2.314,0.016,1.294,2.328,21,1.29,1.024,44.4158075601375,"Baja California Sur","Comondú,","Fabricación de muebles, colchones y persianas","03001"
"14",3,1,431,99,35,352.026,14.338,994.341,1141.226,516,180.605,171.421,12.8708073598043,"Baja California Sur","Comondú,","Comercio al por mayor de abarrotes, alimentos, bebidas, hielo y tabaco","03001"
"15",3,1,434,99,68,137.918,1.57,403.775,483.871,288,48.659,89.259,16.5531722297885,"Baja California Sur","Comondú,","Comercio al por mayor de materias primas agropecuarias y forestales, para la industria, y materiales de desecho","03001"
"16",3,1,435,99,19,38.739,0.464,112.489,133.283,82,12.471,26.268,15.6013895245455,"Baja California Sur","Comondú,","Comercio al por mayor de maquinaria, equipo y mobiliario para actividades agropecuarias, industriales, de servicios y comerciales, y de otra maquinaria y equipo de uso general","03001"
"17",3,1,461,99,458,144.442,2.594,269.354,374.253,941,45.161,99.281,28.0289002359367,"Baja California Sur","Comondú,","Comercio al por menor de abarrotes, alimentos, bebidas, hielo y tabaco","03001"
"18",3,1,462,99,146,525.759,6.734,1541.323,1959.511,918,185.7,340.059,21.3414469222168,"Baja California Sur","Comondú,","Comercio al por menor en tiendas de autoservicio y departamentales","03001"
"19",3,1,463,1,178,37.921,0.792,66.981,92.695,323,11.599,26.322,27.7404390743837,"Baja California Sur","Comondú,","Comercio al por menor de productos textiles, bisutería, accesorios de vestir y calzado","03001"
"20",3,1,463,2,4,16.256,0.214,27.533,38.051,63,6.086,10.17,27.6418490972642,"Baja California Sur","Comondú,","Comercio al por menor de productos textiles, bisutería, accesorios de vestir y calzado","03001"
"21",3,1,464,1,26,17.838,0.657,44.188,57.493,102,4.594,13.244,23.141947715374,"Baja California Sur","Comondú,","Comercio al por menor de artículos para el cuidado de la salud","03001"
"22",3,1,465,1,113,16.089,0.174,36.002,48.658,221,5.012,11.077,26.0101113896995,"Baja California Sur","Comondú,","Comercio al por menor de artículos de papelería, para el esparcimiento y otros artículos de uso personal","03001"
"23",3,1,466,99,116,20.757,0.211,36.156,51.298,230,6.193,14.564,29.5177199890834,"Baja California Sur","Comondú,","Comercio al por menor de enseres domésticos, computadoras, artículos para la decoración de interiores y artículos usados","03001"
"24",3,1,467,99,64,72.261,1.36,136.018,187.449,238,17.476,54.785,27.4373296203234,"Baja California Sur","Comondú,","Comercio al por menor de artículos de ferretería, tlapalería y vidrios","03001"
"25",3,1,468,99,133,254.356,2.189,956.815,1126.363,602,64.866,189.49,15.0526961556798,"Baja California Sur","Comondú,","Comercio al por menor de vehículos de motor, refacciones, combustibles y lubricantes","03001"
"26",3,1,484,99,8,34.057,0.3,25.152,34.059,175,23.901,10.156,26.1516779705805,"Baja California Sur","Comondú,","Autotransporte de carga","03001"
"27",3,1,488,99,7,26.915,2.414,8.755,26.915,75,8.589,18.326,67.4716700724503,"Baja California Sur","Comondú,","Servicios relacionados con el transporte","03001"
"28",3,1,531,1,52,10.934,0.114,3.918,10.931,111,3.841,7.093,64.1569847223493,"Baja California Sur","Comondú,","Servicios inmobiliarios","03001"
"29",3,1,532,1,20,1.917,0.014,0.645,1.917,36,0.645,1.272,66.3536776212833,"Baja California Sur","Comondú,","Servicios de alquiler de bienes muebles","03001"
"30",3,1,541,1,49,26.58,2.631,8.914,26.595,140,8.512,18.068,66.4824215078022,"Baja California Sur","Comondú,","Servicios profesionales, científicos y técnicos","03001"
"31",3,1,541,2,3,6.107,0.07,1.876,6.107,33,1.753,4.354,69.2811527755035,"Baja California Sur","Comondú,","Servicios profesionales, científicos y técnicos","03001"
"32",3,1,561,99,28,9.511,0.526,5.495,9.406,87,5.491,4.02,41.5798426536253,"Baja California Sur","Comondú,","Servicios de apoyo a los negocios","03001"
"33",3,1,611,99,21,11.202,0.147,2.19,11.201,113,2.059,9.143,80.4481742701545,"Baja California Sur","Comondú,","Servicios educativos","03001"
"34",3,1,621,99,70,21.55,0.454,11.236,28.191,137,11.108,10.442,60.1433081479905,"Baja California Sur","Comondú,","Servicios médicos de consulta externa y servicios relacionados","03001"
"35",3,1,713,1,24,5.772,0.649,2.423,5.771,54,2.404,3.368,58.0142089759141,"Baja California Sur","Comondú,","Servicios de entretenimiento en instalaciones recreativas y otros servicios recreativos","03001"
"36",3,1,721,1,35,21.01,0.388,9.769,21.007,138,9.488,11.522,53.496453563098,"Baja California Sur","Comondú,","Servicios de alojamiento temporal","03001"
"37",3,1,721,2,3,7.417,0.903,3.503,7.445,36,3.216,4.201,52.9482874412357,"Baja California Sur","Comondú,","Servicios de alojamiento temporal","03001"
"38",3,1,722,1,429,195.117,0.883,116.252,195.089,1191,114.737,80.38,40.410786871633,"Baja California Sur","Comondú,","Servicios de preparación de alimentos y bebidas","03001"
"39",3,1,722,2,7,16.654,0.645,10.147,16.608,87,9.781,6.873,38.9029383429672,"Baja California Sur","Comondú,","Servicios de preparación de alimentos y bebidas","03001"
"40",3,1,813,1,20,1.587,0.709,1.327,1.596,47,1.327,0.26,16.8546365914787,"Baja California Sur","Comondú,","Asociaciones y organizaciones","03001"
"41",3,2,112,99,5,4.182,0,2.632,4.182,32,2.548,1.634,37.063605930177,"Baja California Sur","Mulegé,","Cría y explotación de animales","03002"
"42",3,2,114,99,158,701.401,5.758,480.907,714.328,2266,441.919,259.482,32.6770055212731,"Baja California Sur","Mulegé,","Pesca, caza y captura","03002"
"43",3,2,311,99,159,581.569,7.008,409.276,586.412,994,391.678,189.891,30.2067488387004,"Baja California Sur","Mulegé,","Industria alimentaria","03002"
"44",3,2,312,99,23,19.114,0.291,11.296,19.151,90,11.284,7.83,41.01613492768,"Baja California Sur","Mulegé,","Industria de las bebidas y del tabaco","03002"
"45",3,2,315,99,7,0.634,0,0.33,0.657,7,0.33,0.304,49.7716894977169,"Baja California Sur","Mulegé,","Fabricación de prendas de vestir","03002"
"46",3,2,321,1,17,3.105,0.045,2.142,3.105,23,2.092,1.013,31.0144927536232,"Baja California Sur","Mulegé,","Industria de la madera","03002"
"47",3,2,327,99,6,5.585,0,3.852,5.601,17,3.848,1.737,31.2265666845206,"Baja California Sur","Mulegé,","Fabricación de productos a base de minerales no metálicos","03002"
"48",3,2,332,99,21,19.388,0.018,7.651,19.35,81,7.639,11.749,60.4599483204134,"Baja California Sur","Mulegé,","Fabricación de productos metálicos","03002"
"49",3,2,337,99,13,4.768,0.069,2.1,4.844,24,2.098,2.67,56.6473988439306,"Baja California Sur","Mulegé,","Fabricación de muebles, colchones y persianas","03002"
"50",3,2,431,99,20,234.607,3.654,586.207,692.944,438,131.328,103.279,15.4034092221016,"Baja California Sur","Mulegé,","Comercio al por mayor de abarrotes, alimentos, bebidas, hielo y tabaco","03002"
"51",3,2,433,99,4,9.697,0,105.372,107.737,19,7.341,2.356,2.19516043699007,"Baja California Sur","Mulegé,","Comercio al por mayor de productos farmacéuticos, de perfumería, artículos para el esparcimiento, electrodomésticos menores y aparatos de línea blanca","03002"
"52",3,2,434,99,37,98.522,0.972,290.347,348.214,193,34.582,63.94,16.6182290200854,"Baja California Sur","Mulegé,","Comercio al por mayor de materias primas agropecuarias y forestales, para la industria, y materiales de desecho","03002"
"53",3,2,461,99,391,135.286,15.847,223.322,320.763,833,41.379,93.907,30.3778802417985,"Baja California Sur","Mulegé,","Comercio al por menor de abarrotes, alimentos, bebidas, hielo y tabaco","03002"
"54",3,2,462,1,44,78.94,2.24,104.265,168.998,207,14.954,63.986,38.3040035976757,"Baja California Sur","Mulegé,","Comercio al por menor en tiendas de autoservicio y departamentales","03002"
"55",3,2,462,2,7,135.885,1.778,276.528,455.063,150,13.36,122.525,39.2330292728699,"Baja California Sur","Mulegé,","Comercio al por menor en tiendas de autoservicio y departamentales","03002"
"56",3,2,462,3,3,145.663,2.57,555.085,627.475,259,82.772,62.891,11.5367146101438,"Baja California Sur","Mulegé,","Comercio al por menor en tiendas de autoservicio y departamentales","03002"
"57",3,2,463,1,129,47.788,0.124,73.036,118.571,273,10.957,36.831,38.4031508547621,"Baja California Sur","Mulegé,","Comercio al por menor de productos textiles, bisutería, accesorios de vestir y calzado","03002"
"58",3,2,464,1,40,20.034,0.797,42.886,57.493,107,5.393,14.641,25.406571234759,"Baja California Sur","Mulegé,","Comercio al por menor de artículos para el cuidado de la salud","03002"
