,IGAE,Remesas,USDMXN,Inversión fija bruta,Inflación MX,Ingresos tributarios MX
01/01/02,71.11289244,711.043,9.1616,62.37,0.047863576,79678
01/02/02,68.96677765,718.865,9.0998,62.29,0.04788345,133842.6
01/03/02,70.53610334,744.527,9.0707,59.11,0.046612459,186354.6
01/04/02,74.85819731,805.872,9.1629,63.74,0.047047915,260449.5
01/05/02,74.71286159,912.205,9.5192,62.29,0.046768145,322203.6
01/06/02,72.86342102,860.003,9.7652,59.02,0.049389856,380822.2
01/07/02,73.6196198,843.0738,9.7808,65.62,0.055143865,440748.7
01/08/02,73.89170797,849.1376,9.8396,68.48,0.052917529,498958.1
01/09/02,73.95653866,860.5997,10.0714,67.03,0.049481164,553368.1
01/10/02,74.95104346,848.283,10.095,66.76,0.049364125,611542.4
01/11/02,73.35942074,741.438,10.1975,70.44,0.053881068,668275
01/12/02,73.87311494,919.401,10.2249,71,0.057004793,728283.8
01/01/03,72.57071855,1051.2547,10.6203,63.68,0.051570622,81108
01/02/03,70.9410918,979.7597,10.9372,65.25,0.055169965,136172.1
01/03/03,73.52212688,1139.1124,10.9124,66.15,0.056426712,211418.2
01/04/03,73.55597385,1202.5097,10.5917,64.53,0.052481115,277079.5
01/05/03,74.75973924,1350.9669,10.2512,63.39,0.046962995,338886.7
01/06/03,74.30864419,1351.1707,10.5047,62.04,0.04274373,402778
01/07/03,74.20727276,1361.362,10.4502,67.28,0.041265831,464931.3
01/08/03,72.61893575,1401.2462,10.7811,67.99,0.040433472,527266.1
01/09/03,74.30251015,1365.5085,10.9269,65.85,0.04036959,588915.8
01/10/03,74.77594728,1391.0112,11.1748,66.79,0.039602104,646977.7
01/11/03,72.96523268,1203.7084,11.145,67.43,0.039821208,706567.5
01/12/03,76.1579744,1341.0761,11.2486,72.54,0.039765218,768045.3
01/01/04,73.60994458,1081.8635,10.9151,67.39,0.042015086,84413.2
01/02/04,72.55701743,1171.7737,11.0142,65.73,0.04534444,143705.5
01/03/04,77.76112068,1480.224,11.0094,71.92,0.042307296,223782.5
01/04/04,76.01495237,1513.5151,11.2751,68.62,0.042101136,298514.4
01/05/04,76.99511898,1770.3978,11.5124,66.83,0.042852197,359604.6
01/06/04,77.96903872,1684.7248,11.3894,67.56,0.043661475,419913.8
01/07/04,75.76327575,1654.376,11.4636,70.52,0.044882537,476498
01/08/04,75.86295385,1786.8078,11.3942,70.25,0.048188276,534643.5
01/09/04,76.74992332,1586.8407,11.4864,70.65,0.05060081,591648.8
01/10/04,76.54240885,1529.9477,11.3983,70.83,0.054012365,648265.2
01/11/04,77.59730973,1506.1644,11.3681,76.3,0.054252928,705696.1
01/12/04,78.61386543,1565.1123,11.2041,78.99,0.051908476,769385.8
01/01/05,74.59934181,1367.5563,11.2607,69.76,0.045448212,85482.6
