Periodos,IGAE
01/01/00,71.9852279
01/02/00,72.25340185
01/03/00,74.65106144
01/04/00,71.37473293
01/05/00,75.42072781
01/06/00,74.94968467
01/07/00,74.03269466
01/08/00,74.84261262
01/09/00,75.71658048
01/10/00,74.41413938
01/11/00,74.31658959
01/12/00,73.07921937
01/01/01,73.60377192
01/02/01,71.0512072
01/03/01,74.40384611
01/04/01,71.92297561
01/05/01,74.85535674
01/06/01,73.78796557
01/07/01,72.88882234
01/08/01,74.03873639
01/09/01,73.81659915
01/10/01,73.41286408
01/11/01,73.04807675
01/12/01,72.28833386
01/01/02,71.11289244
01/02/02,68.96677765
01/03/02,70.53610334
01/04/02,74.85819731
01/05/02,74.71286159
01/06/02,72.86342102
01/07/02,73.6196198
01/08/02,73.89170797
01/09/02,73.95653866
01/10/02,74.95104346
01/11/02,73.35942074
01/12/02,73.87311494
01/01/03,72.57071855
01/02/03,70.9410918
01/03/03,73.52212688
01/04/03,73.55597385
01/05/03,74.75973924
01/06/03,74.30864419
01/07/03,74.20727276
01/08/03,72.61893575
01/09/03,74.30251015
01/10/03,74.77594728
01/11/03,72.96523268
01/12/03,76.1579744
01/01/04,73.60994458
01/02/04,72.55701743
01/03/04,77.76112068
01/04/04,76.01495237
01/05/04,76.99511898
01/06/04,77.96903872
01/07/04,75.76327575
01/08/04,75.86295385
01/09/04,76.74992332
01/10/04,76.54240885
01/11/04,77.59730973
01/12/04,78.61386543
01/01/05,74.59934181
01/02/05,73.87882466
01/03/05,76.06342363
01/04/05,79.21556812
01/05/05,79.08810747
01/06/05,78.08786207
01/07/05,76.10821752
01/08/05,78.49584946
01/09/05,79.09753266
01/10/05,78.96850446
01/11/05,80.25086658
01/12/05,81.09067106
01/01/06,79.26449015
01/02/06,76.8065301
01/03/06,82.03535853
01/04/06,79.66689426
01/05/06,84.41095615
01/06/06,83.27973115
01/07/06,80.64108144
01/08/06,82.41058409
01/09/06,82.16264579
01/10/06,83.52639185
01/11/06,82.72739841
01/12/06,82.52546579
01/01/07,80.89837231
01/02/07,78.34938353
01/03/07,83.8303844
01/04/07,81.96800419
01/05/07,85.63409192
01/06/07,84.98792861
01/07/07,83.28149599
01/08/07,84.275928
01/09/07,83.26687952
01/10/07,86.59390386
01/11/07,84.78507037
01/12/07,83.55093555
01/01/08,82.47763516
01/02/08,81.21684313
01/03/08,80.73317254
01/04/08,86.8041966
01/05/08,85.47536425
01/06/08,85.47723591
01/07/08,85.63099642
01/08/08,83.0825318
01/09/08,84.12038202
01/10/08,86.63157541
01/11/08,82.90389772
01/12/08,83.15559498
01/01/09,76.01922141
01/02/09,73.6504302
01/03/09,78.41828646
01/04/09,76.25661727
01/05/09,76.8034584
01/06/09,79.08979892
01/07/09,80.18098851
01/08/09,78.07160987
01/09/09,80.06396674
01/10/09,82.34467657
01/11/09,82.19664555
01/12/09,83.29214174
01/01/10,77.81828716
01/02/10,77.04268066
01/03/10,83.84850899
01/04/10,82.2185916
01/05/10,82.73248743
01/06/10,84.09731458
01/07/10,83.78047607
01/08/10,82.85989146
01/09/10,83.53093434
01/10/10,84.51573882
01/11/10,86.26721094
01/12/10,86.36007392
01/01/11,81.06019738
01/02/11,80.11623887
01/03/11,87.17415325
01/04/11,82.95731837
01/05/11,86.03863847
01/06/11,86.87506384
01/07/11,86.13066363
01/08/11,87.28959258
01/09/11,86.72919627
01/10/11,87.54680252
01/11/11,90.78623637
01/12/11,89.20669629
01/01/12,85.35722355
01/02/12,85.29623705
01/03/12,90.11975024
01/04/12,86.67072143
01/05/12,90.12591177
01/06/12,89.78838737
01/07/12,89.91515409
01/08/12,89.4485918
01/09/12,87.31430406
01/10/12,91.3645989
01/11/12,93.41078223
01/12/12,90.41841117
01/01/13,87.6621291
01/02/13,85.1392285
01/03/13,87.34897303
01/04/13,90.45814152
01/05/13,91.66901409
01/06/13,89.2623067
01/07/13,91.10696457
01/08/13,90.19141142
01/09/13,88.21847671
01/10/13,92.82460983
01/11/13,93.04807137
01/12/13,92.09471306
01/01/14,88.05490076
01/02/14,86.92398126
01/03/14,91.5121887
01/04/14,90.60653817
01/05/14,93.77143135
01/06/14,92.24061537
01/07/14,94.15094509
01/08/14,91.26936301
01/09/14,91.30532504
01/10/14,95.61957329
01/11/14,94.90226574
01/12/14,95.49939764
01/01/15,90.61957881
01/02/15,89.26889451
01/03/15,94.33619915
01/04/15,92.93042157
01/05/15,94.01925605
01/06/15,95.59896047
01/07/15,96.24415359
01/08/15,93.90606372
01/09/15,95.48701623
01/10/15,97.28845556
01/11/15,96.71799329
01/12/15,97.50571032
01/01/16,91.73034056
01/02/16,92.72014333
01/03/16,94.1207133
01/04/16,95.74404037
01/05/16,95.99571627
01/06/16,97.37961967
01/07/16,95.39198448
01/08/16,96.88236416
01/09/16,95.74035834
01/10/16,97.66907953
01/11/16,100.8585613
01/12/16,99.79922557
01/01/17,95.16551932
01/02/17,93.34757652
01/03/17,99.90448517
01/04/17,94.26943053
01/05/17,99.1766943
01/06/17,99.90830414
01/07/17,96.52189459
01/08/17,99.22904209
01/09/17,95.74842948
01/10/17,99.43526065
01/11/17,102.766051
01/12/17,100.7709696
01/01/18,97.3380867
01/02/18,95.24639782
01/03/18,98.90470873
01/04/18,98.84557993
01/05/18,101.9545012
01/06/18,101.2027237
01/07/18,100.125359
01/08/18,101.611471
01/09/18,98.03487565
01/10/18,102.4204146
01/11/18,104.1316016
01/12/18,100.1842801
01/01/19,98.53010159
01/02/19,95.90017908
01/03/19,100.1349071
01/04/19,97.67163398
01/05/19,101.7709763
01/06/19,100.105021
01/07/19,100.5522183
01/08/19,100.2733553
01/09/19,97.75777745
01/10/19,100.6140017
01/11/19,102.9224456
01/12/19,100.3041297
01/01/20,98.27801628
01/02/20,95.35568944
01/03/20,96.85934355
01/04/20,75.9066363
01/05/20,76.67375285
01/06/20,86.34895118
01/07/20,90.49907682
01/08/20,91.32362947
01/09/20,92.72801854
01/10/20,96.08931076
01/11/20,98.73815986
01/12/20,98.23761678
01/01/21,92.6646288
01/02/21,90.42781768
01/03/21,99.22422269
01/04/21,95.54503237
01/05/21,97.79574833
01/06/21,97.94861616
01/07/21,96.88438838
01/08/21,95.48676386
01/09/21,93.55899955
01/10/21,95.72463375
01/11/21,100.7697203
01/12/21,100.2131056
01/01/22,94.64265418
01/02/22,93.95233297
01/03/22,101.3022372
01/04/22,98.26001265
01/05/22,101.7213881
01/06/22,100.4196399
01/07/22,99.6048494
01/08/22,101.5147755
01/09/22,99.14616907
01/10/22,100.4204569
01/11/22,105.1488402
01/12/22,103.4789498
01/01/23,99.32005994
01/02/23,97.20431116
01/03/23,104.0956504
01/04/23,100.490496
01/05/23,106.1132442
01/06/23,104.550513
01/07/23,102.7808366
01/08/23,105.27324
,
,
,
,
,
,
