fecha,Balanza de pagos con base en MBP6 (a partir de 2002) Cuenta corriente (I - II),Balanza de pagos con base en MBP6 (a partir de 2002) Cuenta corriente (I - II) I. Crédito (A + B + C + D) A. Bienes,Balanza de pagos con base en MBP6 (a partir de 2002) Cuenta corriente (I - II) I. Crédito (A + B + C + D) B. Servicios 2/,Balanza de pagos con base en MBP6 (a partir de 2002) Cuenta corriente (I - II) I. Crédito (A + B + C + D),Balanza de pagos con base en MBP6 (a partir de 2002) Cuenta corriente (I - II) I. Crédito (A + B + C + D) C. Ingreso primario,Balanza de pagos con base en MBP6 (a partir de 2002) Cuenta corriente (I - II) I. Crédito (A + B + C + D) D. Ingreso secundario,Balanza de pagos con base en MBP6 (a partir de 2002) Cuenta corriente (I - II) II. Débito (A + B + C + D),Balanza de pagos con base en MBP6 (a partir de 2002) Cuenta corriente (I - II) II. Débito (A + B + C + D) D. Ingreso secundario,Balanza de pagos con base en MBP6 (a partir de 2002) Cuenta corriente (I - II) II. Débito (A + B + C + D) A. Bienes,Balanza de pagos con base en MBP6 (a partir de 2002) Cuenta corriente (I - II) II. Débito (A + B + C + D) C. Ingreso primario,Balanza de pagos con base en MBP6 (a partir de 2002) Cuenta corriente (I - II) II. Débito (A + B + C + D) B. Servicios 2/,Balanza de pagos con base en MBP6 (a partir de 2002) Cuenta de capital (I - II),Balanza de pagos con base en MBP6 (a partir de 2002) Cuenta de capital (I - II) I. Crédito,Balanza de pagos con base en MBP6 (a partir de 2002) Cuenta de capital (I - II) II. Débito
01/01/2002,3628.040129,36742.609674,4093.368949,44080.235486,931.964174,2312.292689,47708.275615,3.2277,38174.554,4915.771684,4614.722231,22.017,0.243,22.26
01/04/2002,2033.073517,41541.958052,3861.8093,49696.712777,1576.151723,2716.793702,51729.786294,9.306238,43034.542,3383.886119,5302.051937,24.676,0.245,24.921
01/07/2002,2712.531501,41421.115364,3695.79113,48886.497133,1075.540193,2694.050446,51599.028634,14.492638,42992.515,3712.599496,4879.4215,24.631,0.246,24.877
01/10/2002,4028.209259,41572.18695,3916.427466,49011.238026,873.560011,2649.063599,53039.447285,8.176037,44711.219349,2985.712554,5334.339345,25.654,0.246,25.9
01/01/2003,1701.25075,39114.378134,4134.258306,47549.636907,995.095133,3305.905334,49250.887657,1.484838,39251.538,5153.459051,4844.405768,19.632,2.88,22.512
01/04/2003,507.109526,40296.20986,3773.155043,49607.729554,1497.127975,4041.236676,50114.83908,4.056261,41945.006018,3135.965272,5029.811529,20.675,2.905,23.58
01/07/2003,84.125477,41592.43507,3808.805708,51561.567669,1893.019742,4267.307149,51645.693146,16.067812,43031.011469,3340.574219,5258.039646,20.6,2.952,23.552
01/10/2003,1743.979279,43983.046596,4121.330316,53160.948634,982.771459,4073.800263,54904.927913,15.527149,46550.330515,2651.162766,5687.907483,22.135,2.979,25.114
01/01/2004,1170.294674,43265.0797,4395.176345,52834.24035,1296.201837,3877.782468,54004.535024,0.06,43781.764,4862.069377,5360.641647,104.514,0.15,104.664
01/04/2004,1082.730463,47455.319456,4105.158501,58619.769278,1945.896448,5113.394873,57537.038815,18.559674,48583.331,3268.198062,5666.950079,110.169,0.151,110.32
01/07/2004,319.188411,47948.98266,4177.19522,58721.090945,1419.547432,5175.365633,59040.279356,5.408359,49910.725,3185.982982,5938.163015,111.523,0.152,111.675
01/10/2004,3407.270221,49624.713618,4572.765338,60415.98272,1471.052971,4747.450793,63823.252941,55.992412,54861.594753,2490.926805,6414.738971,119.081,0.153,119.234
01/01/2005,3428.620197,46992.328792,5030.965169,58136.36528,1462.429817,4650.641502,61564.985477,9.700075,48866.405,6630.894557,6057.985845,149.847,0.642,150.489
01/04/2005,173.073915,54082.881912,4781.912113,66374.876682,1612.239852,5897.842805,66547.950597,4.978701,54766.755,4863.148906,6913.06799,163.459,0.645,164.104
01/07/2005,68.727403,54289.879144,4741.150551,66531.95364,1548.861427,5952.062518,66463.226237,26.561368,56001.143,3999.799105,6435.722764,164.438,0.65,165.088
01/10/2005,2193.059366,59267.768552,4891.228424,71729.325109,1738.908717,5831.419416,73922.384475,15.352552,62661.064588,4299.561543,6946.405792,176.075,0.654,176.729
01/01/2006,1424.434538,58956.870364,5121.835471,71973.309934,1997.987315,5896.616784,73397.744472,4.486441,58246.395,8591.212141,6555.65089,152.64684,8.26216,160.909
01/04/2006,92.229797,63886.971582,5065.755787,78120.43595,2057.101642,7110.606939,78212.665747,12.66269,64082.204,7017.685059,7100.113998,170.027,2.588,172.615
01/07/2006,104.364495,63236.503848,4774.591197,77131.496854,2288.039527,6832.362282,77235.861349,47.016848,65920.337,4008.566087,7259.941414,166.763414,20.862845,187.626259
01/10/2006,1615.596097,64238.696832,5452.107066,78362.039423,2302.377393,6368.858132,79977.63552,23.485275,68382.341,4387.534104,7184.275141,178.982,2.606,181.588
01/01/2007,4870.400295,60372.231244,6022.477359,74752.988564,2323.93487,6034.345091,79623.388859,7.461586,62859.604,9595.80478,7160.518493,104.36458,12.14948,116.51406
01/04/2007,1844.138229,67755.95909,5459.257145,82395.062276,2182.156695,6997.689346,84239.200505,21.851412,70116.891792,6770.213575,7330.243726,109.818,1.074,110.892
01/07/2007,1022.972605,70373.008238,5364.982261,85257.231791,2430.407846,7088.833446,86280.204396,47.133121,72835.47257,4573.731747,8823.866958,101.78708,41.10208,142.88916
