,Indicador global de la actividad económica. Total (IGAE) Base 2013 Serie original,Remesas Familiares Total,Tipo de cambio                                            Pesos por dólar E.U.A. Para solventar obligaciones denominadas en moneda extranjera Fecha de determinación (FIX)                              Cotizaciones promedio,Indice de volumen de la inversión fija bruta Total,IPC Por objeto del gasto                                                         Nacional I n d i c e   G e n e r a l,Balanza de pagos con base en MBP6 (a partir de 2002) Cuenta corriente (I - II)
2002-01-01,4.348809762344896,6.566732906174227,2.215020835921659,4.1330843905380314,3.9298721965979615,2.1037008740872896
2002-02-01,4.31894438599,6.5776735793129255,2.2082524352593063,4.131800899266054,3.929229127465288,2.1037008740872896
2002-03-01,4.345392473509026,6.612749117416772,2.2050494386572836,4.079400114836278,3.9343312752922297,2.1037008740872896
2002-04-01,4.39235065807153,6.691924920962152,2.2151627224672326,4.15481230898919,3.939778921310399,2.0304224980125585
2002-05-01,4.407571323168842,6.815864745516689,2.2533108116588068,4.131800899266054,3.94180370537867,2.0304224980125585
2002-06-01,4.378536802286397,6.756935877613562,2.278825045429707,4.077876369514794,3.9466676103047416,2.0304224980125585
2002-07-01,4.38111622037252,6.737054498654047,2.280421280292324,4.183880527532955,3.9495342004953846,2.0675761266184187
2002-08-01,4.38584184748504,6.744221246206024,2.2864150598314077,4.226541731833486,3.9533292346878333,2.0675761266184187
2002-09-01,4.361571344439574,6.757629471810434,2.309699723879453,4.205140280369866,3.9593260453285986,2.0675761266184187
2002-10-01,4.401923620263275,6.743214306532724,2.312040251764801,4.2011040987936346,3.9637239007351543,2.1163852899454176
2002-11-01,4.3832159271851,6.608591543786769,2.3221425922095764,4.254761283628006,3.971779052495663,2.1163852899454176
2002-12-01,4.388139165038144,6.823722371037405,2.324825921929941,4.2626798770413155,3.9761226177593376,2.1163852899454176
2003-01-01,4.37289002266172,6.957739682145178,2.36276726400238,4.1538705415361274,3.9801570735823937,2.006752427158415
2003-02-01,4.346082049149225,6.887307337515549,2.3921698227361343,4.178226046202803,3.9829309859226254,2.006752427158415
2003-03-01,4.3862651395080725,7.038004641633641,2.3898997573207543,4.191924890560965,3.989223462346473,2.006752427158415
2003-04-01,4.381412696252251,7.092166068475448,2.3600706755307015,4.167130231947748,3.9909292645116143,1.829171979316115
2003-05-01,4.4102301499968295,7.208575837289963,2.32739477190262,4.149306120296075,3.987697293126116,1.829171979316115
2003-06-01,4.39990830045729,7.208726680829824,2.351822776059576,4.127779338308338,3.9885230514334564,1.829171979316115
2003-07-01,4.393655012264318,7.216240948181218,2.3466211169836573,4.208863015664693,3.9899713183103604,1.488920770582012
2003-08-01,4.374750225703106,7.245117262518286,2.3777946010913675,4.219360635538369,3.992966660972392,1.488920770582012
2003-09-01,4.371834874679044,7.219282165720457,2.3912276389040117,4.18737942818929,3.9989020703315843,1.488920770582012
2003-10-01,4.405243769037516,7.237786243652351,2.413661243247755,4.201553368737545,4.002561948235015,2.010081378163398
2003-11-01,4.3899265976319555,7.09316240384435,2.410990966837832,4.2110900227464905,4.010827835459396,2.010081378163398
2003-12-01,4.422813428574602,7.201227630366536,2.4202436764621322,4.284138133854756,4.015117553719965,2.010081378163398
2004-01-01,4.393585819142582,6.9864402961801595,2.3901471516640163,4.2104966389581255,4.021313494613856,1.9551545524694265
2004-02-01,4.371898012927836,7.066273862755726,2.3991853493825226,4.185555442275485,4.027277424604574,1.9551545524694265
2004-03-01,4.441801483771024,7.299948706657052,2.398749453336826,4.275554390163365,4.030660271681216,1.9551545524694265
