fecha,"Indice de volumen de la producción manufacturera por subsectores Indice general Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",Tipo de cambio                                            Pesos por dólar E.U.A. Para solventar obligaciones denominadas en moneda extranjera Fecha de determinación (FIX)                              Cotizaciones promedio,Indice de volumen de la producción manufacturera por subsectores Indice general Industria alimentaria,,Indice de volumen de la producción manufacturera por subsectores Indice general Fabricación de maquinaria y equipo,Indice de volumen de la producción manufacturera por subsectores Indice general Industria de las bebidas y del tabaco,Remesas Familiares Total,Indice de volumen de la producción manufacturera por subsectores Indice general Fabricación de productos derivados del petróleo y del carbón,Índice de volumen de la producción industrial Series originales Minería,Indice de volumen de la producción manufacturera por subsectores Indice general Fabricación de equipo de transporte,Balanza de pagos con base en MBP6 (a partir de 2002) Cuenta corriente (I - II)
01/01/2018,98.6835,18.9074,103.8522,112.0404,98.6673,86.5146,2267.623,99.4639,106.5633,90.7651,12013.139308
01/02/2018,94.4517,18.6449,99.1416,92.1368,95.5257,83.8208,2244.4429,78.6384,96.0877,95.1463,
01/03/2018,97.4917,18.6308,103.6914,77.903,100.9711,98.7922,2674.8575,107.3895,103.6144,99.7225,
01/04/2018,95.7122,18.3872,101.7425,96.6255,101.6554,103.3276,2760.9455,124.7366,102.1237,90.7809,4038.476167
01/05/2018,97.7762,19.591,101.5233,108.5849,101.672,108.3713,3155.952,122.7698,103.1057,103.1675,
01/06/2018,100.4133,20.3032,97.6807,111.2675,104.3452,105.6471,3140.6653,102.965,100.5312,103.7775,
01/07/2018,99.9335,19.0095,96.6774,98.3189,99.207,105.7025,2858.0037,105.0487,101.841,99.68,5860.898059
01/08/2018,105.4096,18.8575,99.5244,81.0737,104.9802,109.4476,2883.364,110.2397,100.1304,111.0163,
01/09/2018,102.9695,19.0154,94.2484,73.6619,97.4969,97.9136,2718.0975,97.2857,97.7145,102.4545,
01/10/2018,110.2407,19.1859,98.0554,82.2368,103.4649,103.4106,3017.3339,81.6372,97.6422,112.3234,4077.688449
01/11/2018,107.0783,20.2612,99.927,131.736,103.3917,101.2749,2964.7711,84.1995,93.3683,107.0024,
01/12/2018,89.8398,20.1112,103.9357,134.4145,88.6227,95.7772,2991.1708,85.6259,97.2777,84.1635,
01/01/2019,103.7927,19.1651,105.7795,112.5062,102.5649,90.2335,2484.7923,81.111,93.7734,98.2487,11850.919632
01/02/2019,101.7045,19.2049,102.6458,97.1643,100.1565,89.8771,2467.0416,88.3083,88.0737,96.5794,
01/03/2019,117.1295,19.2477,106.2582,79.5256,104.448,102.3068,2992.9243,94.8649,96.0451,105.859,
01/04/2019,106.9107,18.9864,102.6499,94.0523,102.4838,104.7051,2970.2291,95.3791,91.7874,99.03,4372.136008
01/05/2019,108.7664,19.1197,105.9492,108.3452,104.5695,108.824,3317.6509,103.3595,91.6851,107.9932,
01/06/2019,107.7704,19.2745,98.6028,112.9757,100.626,109.9823,3218.3491,103.0978,94.3869,105.9514,
01/07/2019,109.9522,19.0534,99.744,100.8723,104.9342,111.9478,3293.6964,107.8294,96.9081,102.6103,591.8168
01/08/2019,109.3669,19.685,100.5532,79.0712,102.2996,110.4008,3393.7313,109.0328,97.1982,106.8279,
01/09/2019,109.5284,19.5865,95.9627,78.2543,97.9666,103.0965,3101.2411,97.6032,94.8765,102.4742,
01/10/2019,112.941,19.3242,100.4793,87.1295,99.2328,109.015,3155.0148,91.719,95.2495,102.2114,2330.947906
01/11/2019,100.9811,19.3325,102.0569,127.4729,91.108,101.4433,2924.9149,89.6376,95.1988,97.8129,
01/12/2019,94.7928,19.1071,104.2764,129.1967,78.2299,98.3357,3119.1723,95.2386,98.9245,76.1979,
01/01/2020,106.012,18.804,106.783,112.6638,88.4704,89.1166,2620.8224,92.3966,101.4279,98.943,7941.504692
01/02/2020,102.9857,18.8443,104.1423,86.7819,88.7366,88.0168,2731.9385,71.2117,95.7472,99.1722,
01/03/2020,104.1353,22.3784,109.2075,85.1514,93.5318,97.8846,4044.8095,95.6094,99.792,88.6391,
01/04/2020,73.6064,24.2658,103.2086,93.8401,74.6383,70.6677,2909.5076,100.3308,89.5237,15.4367,1555.748856
01/05/2020,72.6128,23.423,101.8769,109.2713,65.7608,73.3479,3445.4017,104.8232,87.1463,24.3054,
01/06/2020,94.5699,22.299,98.8509,109.7136,76.4659,96.6724,3536.9615,97.8068,92.5668,81.283,
01/07/2020,95.5303,22.4033,99.1889,109.4815,77.1748,109.9578,3531.8212,75.3988,97.4736,92.2545,15962.555987
01/08/2020,97.8953,22.2072,97.3116,81.3366,83.18,111.1389,3574.2006,87.7456,97.5137,93.7627,
01/09/2020,105.0677,21.681,96.7262,82.208,84.2266,105.5255,3569.9955,97.6038,95.1614,99.5823,
01/10/2020,104.1376,21.2705,100.0455,91.8617,93.6882,109.4927,3601.7004,92.5847,97.5483,106.726,16056.297875
01/11/2020,99.8452,20.3819,100.7512,129.7902,90.9181,105.499,3387.336,79.1862,94.8388,96.9594,
01/12/2020,97.8689,19.9651,107.7859,126.0923,82.6184,98.6464,3650.0589,100.783,98.4909,84.6162,
01/01/2021,100.989,19.9215,106.7359,113.5097,85.245,89.9701,3287.3901,110.4929,97.591,89.3476,10129.078019
01/02/2021,103.5473,20.3097,103.5944,89.7297,86.9587,84.9319,3170.7425,103.2085,91.7071,81.5741,
01/03/2021,115.0785,20.7555,109.8707,83.0489,99.0134,102.6608,4157.3441,130.0855,98.3069,105.2534,
01/04/2021,104.8827,20.0153,106.1654,94.5865,98.131,102.4748,4048.3026,96.2959,95.3822,92.6664,4930.704013
01/05/2021,104.5459,19.9631,104.0403,117.0034,95.8839,106.7118,4525.8605,108.9856,97.8713,89.1907,
01/06/2021,108.1638,20.0301,103.0693,118.8866,98.8008,109.1639,4457.5306,97.1319,97.4829,94.5126,
01/07/2021,108.0891,19.9701,103.9116,108.0001,102.7184,112.1203,4545.0595,102.0109,100.2805,87.265,4377.287575
01/08/2021,109.4644,20.0761,102.6268,82.7206,101.1989,113.8296,4748.7471,109.1636,98.7717,89.2948,
01/09/2021,99.726,20.0487,100.2387,78.4975,100.3855,109.4376,4408.9427,114.3412,97.6761,81.774,
01/10/2021,112.2754,20.4626,102.3684,88.1378,101.6979,110.2494,4822.0725,115.2878,99.2425,89.2466,1232.77424
01/11/2021,102.9711,20.9004,105.7182,137.4166,100.6604,110.6164,4661.5952,113.8191,97.5231,86.8636,
01/12/2021,95.1783,20.8918,111.0667,136.695,94.5701,103.6608,4752.2797,114.9634,101.2715,86.491,
01/01/2022,100.8929,20.4978,108.0789,111.9818,95.8358,95.1443,3918.1783,128.1954,105.4477,92.9314,12348.642894
01/02/2022,107.5979,20.4495,106.5777,88.6561,98.9228,94.4267,3911.3357,124.1286,92.5688,90.3286,
01/03/2022,120.2632,20.5562,112.2684,88.728,108.3074,107.1753,4692.5131,132.6787,101.479,106.9181,
01/04/2022,113.4087,20.1088,108.6907,98.104,104.8853,107.7274,4707.8655,136.7568,99.3537,92.9335,1891.604081
01/05/2022,113.4344,20.0305,108.486,122.7785,103.1395,113.9643,5142.0283,134.1976,101.3032,96.0651,
01/06/2022,116.3655,20.0237,105.9891,112.5196,107.0678,112.7292,5143.9831,99.8815,103.6601,101.8601,
01/07/2022,117.4003,20.5467,104.4222,103.8533,109.1301,118.6522,5301.4363,128.8422,104.0367,95.8737,6386.867338
01/08/2022,121.8463,20.1209,104.9875,86.4808,110.5692,121.0156,5123.8385,128.6609,102.5681,111.4955,
01/09/2022,122.2381,20.075,102.7521,85.3021,104.1427,112.778,5036.8688,118.1503,99.1113,104.0278,
01/10/2022,122.5573,19.9845,104.4743,93.3443,109.6222,114.4049,5361.4032,131.5418,102.9084,104.6469,2581.541874
01/11/2022,118.9737,19.4449,106.9306,148.4346,113.847,111.5656,4817.5963,135.4587,101.235,103.4414,
01/12/2022,111.9371,19.593,110.3518,147.1842,97.1314,105.164,5353.0367,126.7228,106.934,96.3641,
01/01/2023,112.7186,18.9863,108.2098,110.4538,107.982,94.2819,4425.1072,136.5514,105.9701,100.9427,20289.022297
01/02/2023,110.3322,18.5986,106.0773,96.4175,103.7416,93.8889,4359.1013,113.9742,99.6386,100.4642,
01/03/2023,124.055,18.3749,110.1668,88.1131,113.5211,100.1983,5186.1447,140.2204,104.4617,116.5884,
01/04/2023,112.1412,18.0855,106.5766,99.8462,109.618,100.3643,5001.601,139.0524,102.7086,104.4864,6247.074983
01/05/2023,115.8949,17.7373,105.3531,123.2597,106.0909,106.2623,5696.8819,126.6492,104.9083,113.5421,
01/06/2023,121.339,17.2412,104.4691,117.02,110.4455,106.9289,5575.195,116.9282,105.271,112.7927,
