fecha,Indicador global de la actividad económica. Total (IGAE) Base 2013 Serie original,Remesas Familiares Total,Tipo de cambio                                            Pesos por dólar E.U.A. Para solventar obligaciones denominadas en moneda extranjera Fecha de determinación (FIX)                              Cotizaciones promedio,Indice de volumen de la inversión fija bruta Total,IPC Por objeto del gasto                                                         Nacional I n d i c e   G e n e r a l, Cuenta corriente (I - II)
01/01/2002,77.3863,711.043,9.1616,62.37,50.900472,3628.040129
01/02/2002,75.1093,718.865,9.0998,62.29,50.86775,
01/03/2002,77.1223,744.527,9.0707,59.11,51.127948,
01/04/2002,80.8302,805.872,9.1629,63.74,51.407235,2033.073517
01/05/2002,82.0699,912.205,9.5192,62.29,51.511429,
01/06/2002,79.7213,860.003,9.7652,59.02,51.762586,
01/07/2002,79.9272,843.0738,9.7808,65.62,51.911181,2712.531501
01/08/2002,80.3058,849.1376,9.8396,68.48,52.10856,
01/09/2002,78.3802,860.5997,10.0714,67.03,52.421984,
01/10/2002,81.6077,848.283,10.095,66.76,52.653036,4028.209259
01/11/2002,80.0952,741.438,10.1975,70.44,53.078877,
01/12/2002,80.4905,919.401,10.2249,71.0,53.30993,
01/01/2003,79.2724,1051.2547,10.6203,63.68,53.525441,1701.25075
01/02/2003,77.1755,979.7597,10.9372,65.25,53.674122,
01/03/2003,80.3398,1139.1124,10.9124,66.15,54.01293,
01/04/2003,79.9509,1202.5097,10.5917,64.53,54.105144,507.109526
01/05/2003,82.2884,1350.9669,10.2512,63.39,53.93056,
01/06/2003,81.4434,1351.1707,10.5047,62.04,53.975112,
01/07/2003,80.9357,1361.362,10.4502,67.28,54.053339,84.125477
01/08/2003,79.42,1401.2462,10.7811,67.99,54.21549,
01/09/2003,79.1888,1365.5085,10.9269,65.85,54.538238,
01/10/2003,81.8791,1391.0112,11.1748,66.79,54.738207,1743.979279
01/11/2003,80.6345,1203.7084,11.145,67.43,55.192542,
01/12/2003,83.3304,1341.0761,11.2486,72.54,55.429811,
01/01/2004,80.9301,1081.8635,10.9151,67.39,55.774317,1170.294674
01/02/2004,79.1938,1171.7737,11.0142,65.73,56.107945,
01/03/2004,84.9278,1480.224,11.0094,71.92,56.298071,
01/04/2004,82.9362,1513.5151,11.2751,68.62,56.383032,1082.730463
01/05/2004,85.2391,1770.3978,11.5124,66.83,56.241603,
01/06/2004,85.6209,1684.7248,11.3894,67.56,56.331745,
01/07/2004,82.9402,1654.376,11.4636,70.52,56.47939,319.188411
01/08/2004,83.1324,1786.8078,11.3942,70.25,56.828041,
01/09/2004,82.1975,1586.8407,11.4864,70.65,57.297917,
01/10/2004,84.3627,1529.9477,11.3983,70.83,57.694747,3407.270221
01/11/2004,85.9415,1506.1644,11.3681,76.3,58.186899,
01/12/2004,86.2306,1565.1123,11.2041,78.99,58.307088,
01/01/2005,82.2584,1367.5563,11.2607,69.76,58.30916,3428.620197
01/02/2005,80.8994,1428.377,11.1367,67.94,58.503431,
01/03/2005,83.6264,1691.5896,11.1427,71.45,58.767121,
01/04/2005,86.5937,1753.3032,11.1163,73.55,58.976415,173.073915
01/05/2005,87.8889,2057.2773,10.9733,69.74,58.828251,
01/06/2005,86.3521,1923.2802,10.8228,70.13,58.771783,
01/07/2005,83.7842,1840.3006,10.6781,71.63,59.0018,68.727403
01/08/2005,86.4312,2059.2229,10.6882,75.23,59.072255,
01/09/2005,84.6426,1885.9905,10.7775,74.68,59.309006,
01/10/2005,86.8531,1862.2776,10.8324,74.49,59.45458,2193.059366
01/11/2005,88.6573,1886.9538,10.6685,82.27,59.882493,
01/12/2005,89.1511,1932.142,10.6295,86.11,60.250312,
01/01/2006,87.0456,1758.3057,10.547,75.14,60.603626,1424.434538
01/02/2006,84.083,1823.1898,10.4833,72.97,60.696358,
01/03/2006,89.5401,2152.8362,10.7468,81.28,60.772512,
01/04/2006,87.1025,2072.7017,11.0421,77.03,60.861617,92.229797
01/05/2006,93.1394,2534.599,11.0923,78.78,60.590675,
01/06/2006,91.3686,2340.2623,11.3913,77.62,60.642998,
01/07/2006,88.3589,2191.6469,10.9858,80.35,60.809294,104.364495
01/08/2006,90.2462,2334.2835,10.872,84.0,61.119609,
01/09/2006,87.8691,2140.9586,10.9853,83.36,61.736612,
01/10/2006,91.5975,2316.5244,10.8971,83.45,62.006519,1615.596097
01/11/2006,91.1452,1962.802,10.9177,88.37,62.331857,
01/12/2006,90.8614,1938.7249,10.8479,91.14,62.692424,
01/01/2007,88.7773,1872.9292,10.9529,78.15,63.016208,4870.400295
01/02/2007,85.7683,1856.7782,10.9998,77.99,63.192347,
01/03/2007,91.4221,2186.5239,11.1139,84.11,63.329113,
01/04/2007,89.3206,2166.564,10.9806,81.42,63.291295,1844.138229
01/05/2007,94.3224,2411.7694,10.8167,83.32,62.982534,
01/06/2007,93.5346,2300.5755,10.835,80.54,63.05817,
01/07/2007,91.411,2369.4892,10.8109,86.78,63.326005,1022.972605
01/08/2007,92.2173,2412.1251,11.0456,88.84,63.583996,
01/09/2007,89.4752,2186.1334,11.0315,90.92,64.077703,
01/10/2007,95.28,2367.6428,10.8231,94.23,64.327405,2217.218752
01/11/2007,93.8093,1958.5217,10.8866,97.14,64.781221,
01/12/2007,92.4572,1969.7657,10.8484,99.25,65.049056,
01/01/2008,90.9543,1781.6996,10.91,88.55,65.350564,4285.097704
01/02/2008,88.9893,1859.7116,10.7665,89.61,65.544834,
01/03/2008,89.0533,2116.3465,10.7313,86.05,66.019891,
01/04/2008,94.7153,2184.6854,10.5154,95.34,66.170127,2342.591807
01/05/2008,94.8644,2371.6245,10.4352,92.41,66.098635,
01/06/2008,94.4559,2264.5868,10.3292,92.23,66.372168,
01/07/2008,94.1593,2183.1569,10.2155,99.91,66.742059,3948.780356
01/08/2008,91.4931,2097.565,10.1095,91.6,67.127492,
01/09/2008,90.5765,2113.8022,10.6437,90.57,67.584935,
01/10/2008,95.5068,2637.7129,12.6314,96.04,68.045486,6812.135731
01/11/2008,92.0427,1752.1841,13.114,93.69,68.818942,
01/12/2008,91.8951,1781.9097,13.4226,96.53,69.295552,
01/01/2009,84.8959,1572.9751,13.8921,78.39,69.456149,1717.783356
